"record_id","time","variable","response","part","question"
4,0,"p4_q23",2,"4","23"
4,0,"p4_q24",0,"4","24"
5,0,"p1_q1",NA,"1","1"
5,0,"p1_q2",NA,"1","2"
5,0,"p1_q3",NA,"1","3"
5,0,"p1_q4",NA,"1","4"
5,0,"p1_q5",NA,"1","5"
5,0,"p1_q6",NA,"1","6"
5,0,"p1_q7",NA,"1","7"
5,0,"p1_q8",NA,"1","8"
5,0,"p1_q9",NA,"1","9"
5,0,"p1_q10",NA,"1","10"
5,0,"p1_q11",NA,"1","11"
5,0,"p1_q12",NA,"1","12"
5,0,"p1_q13",NA,"1","13"
5,0,"p1_q14",NA,"1","14"
5,0,"p1_q15",NA,"1","15"
5,0,"p1_q16",NA,"1","16"
5,0,"p1_q17",NA,"1","17"
5,0,"p1_q18",NA,"1","18"
5,0,"p1_q19",NA,"1","19"
5,0,"p1_q20",NA,"1","20"
5,0,"p1_q22",NA,"1","22"
5,0,"p1_q21",NA,"1","21"
5,0,"p1_q23",NA,"1","23"
5,0,"p1_q24",NA,"1","24"
5,0,"p1_q25",NA,"1","25"
5,0,"p1_q26",NA,"1","26"
5,0,"p1_q27",NA,"1","27"
5,0,"p1_q28",NA,"1","28"
5,0,"p1_q29",NA,"1","29"
5,0,"p1_q30",NA,"1","30"
5,0,"p1_q31",NA,"1","31"
5,0,"p1_q32",NA,"1","32"
5,0,"p1_q33",NA,"1","33"
5,0,"p1_q34",NA,"1","34"
5,0,"p1_q35",NA,"1","35"
5,0,"p1_q36",NA,"1","36"
5,0,"p1_q37",NA,"1","37"
5,0,"p1_q38",NA,"1","38"
5,0,"p1_q39",NA,"1","39"
5,0,"p1_q40",NA,"1","40"
5,0,"p1_q41",NA,"1","41"
5,0,"p2_example",NA,"2",NA
5,0,"p2_q1a",NA,"2","1a"
5,0,"p2_q2a",NA,"2","2a"
5,0,"p2_q3a",NA,"2","3a"
5,0,"p2_q4a",NA,"2","4a"
5,0,"p2_q5a",NA,"2","5a"
5,0,"p2_q6a",NA,"2","6a"
5,0,"p2_q7a",NA,"2","7a"
5,0,"p2_q8a",NA,"2","8a"
